Report Date,Region,% Difference in Total COVID Patients,Total COVID Patients
6/8/2020,Western,300%,4
6/9/2020,Western,0%,4
6/10/2020,Western,-25%,3
6/11/2020,Western,66.666666667%,5
6/12/2020,Western,-20%,4
6/13/2020,Western,25%,5
6/14/2020,Western,-20%,4
6/15/2020,Western,-50%,2
6/16/2020,Western,0%,2
6/17/2020,Western,-50%,1
6/18/2020,Western,0%,1
6/19/2020,Western,100%,2
6/20/2020,Western,200%,6
6/21/2020,Western,83.333333333%,11
6/22/2020,Western,9.090909091%,12
6/23/2020,Western,-16.666666667%,10
6/24/2020,Western,-10%,9
6/25/2020,Western,-11.111111111%,8
6/26/2020,Western,12.5%,9
6/27/2020,Western,-22.222222222%,7
6/28/2020,Western,14.285714286%,8
6/29/2020,Western,0%,8
6/30/2020,Western,12.5%,9
7/1/2020,Western,-22.222222222%,7
7/2/2020,Western,0%,7
7/3/2020,Western,-42.857142857%,4
7/4/2020,Western,0%,4
7/5/2020,Western,25%,5
7/6/2020,Western,40%,7
7/7/2020,Western,14.285714286%,8
7/8/2020,Western,-12.5%,7
7/9/2020,Western,0%,7
7/10/2020,Western,0%,7
7/11/2020,Western,14.285714286%,8
7/12/2020,Western,12.5%,9
7/13/2020,Western,22.222222222%,11
7/14/2020,Western,18.181818182%,13
7/15/2020,Western,-30.769230769%,9
7/16/2020,Western,0%,9
7/17/2020,Western,-22.222222222%,7
7/18/2020,Western,-14.285714286%,6
7/19/2020,Western,33.333333333%,8
7/20/2020,Western,-12.5%,7
7/21/2020,Western,-14.285714286%,6
7/22/2020,Western,66.666666667%,10
7/23/2020,Western,-40%,6
7/24/2020,Western,33.333333333%,8
7/25/2020,Western,-12.5%,7
7/26/2020,Western,0%,7
7/27/2020,Western,14.285714286%,8
7/28/2020,Western,112.5%,17
7/29/2020,Western,-5.882352941%,16
7/30/2020,Western,-50%,8
7/31/2020,Western,12.5%,9
8/1/2020,Western,22.222222222%,11
8/2/2020,Western,36.363636364%,15
8/3/2020,Western,-6.666666667%,14
8/4/2020,Western,-14.285714286%,12
8/5/2020,Western,0%,12
8/6/2020,Western,-8.333333333%,11
8/7/2020,Western,-54.545454545%,5
8/8/2020,Western,0%,5
8/9/2020,Western,0%,5
8/10/2020,Western,140%,12
8/11/2020,Western,-58.333333333%,5
8/12/2020,Western,140%,12
8/13/2020,Western,-50%,6
8/14/2020,Western,16.666666667%,7
8/15/2020,Western,14.285714286%,8
8/16/2020,Western,0%,8
8/17/2020,Western,50%,12
8/18/2020,Western,-16.666666667%,10
8/19/2020,Western,50%,15
8/20/2020,Western,6.666666667%,16
8/21/2020,Western,-56.25%,7
8/22/2020,Western,0%,7
8/23/2020,Western,-14.285714286%,6
8/24/2020,Western,16.666666667%,7
8/25/2020,Western,71.428571429%,12
8/26/2020,Western,-33.333333333%,8
8/27/2020,Western,-37.5%,5
8/28/2020,Western,-40%,3
8/29/2020,Western,-33.333333333%,2
8/30/2020,Western,100%,4
8/31/2020,Western,25%,5
9/1/2020,Western,20%,6
